Title,Synopsis,Original Language,Runtime,Director,Producer,Writer,Top Cast,Distributor,Production Co,Box Office (Gross USA),Tomato Meter,Audience Score,No. Reviews,Genre,Release Date (Theaters),Release Date (Streaming),Link,All Genres
John Wick Chapter 4,"John Wick (Keanu Reeves) uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",Eng,169,Chad Stahelski,"Basil Iwanyk, Erica Lee, Chad Stahelski","Shay Hatten, Michael Finch","['Keanu Reeves', 'John Wick', 'Donnie Yen', 'Caine', 'Bill Skarsgård', 'Marquis', 'Laurence Fishburne', 'Bowery King', 'Hiroyuki Sanada', 'Shimazu', 'Shamier Anderson', 'Tracker']",Lionsgate,"Summit Entertainment, 87eleven, Thunder Road Pictures",187100000.0,0.94,0.93,373,Action,"Mar 24, 2023  Wide","May 23, 2023",https://www.rottentomatoes.com/m/john_wick_chapter_4,"Action, Mystery & thriller"
Hell Or High Water,"Toby is a divorced father who's trying to make a better life for his son. His brother Tanner is an ex-convict with a short temper and a loose trigger finger. Together, they plan a series of heists against the bank that's about to foreclose on their family ranch. Standing in their way is Marcus, a Texas Ranger who's only weeks away from retirement. As the siblings plot their final robbery, they must also prepare for a showdown with a crafty lawman who's not ready to ride off into the sunset.",Eng,97,David Mackenzie,"Sidney Kimmel, Peter Berg, Carla Hacken, Julie Yorn",Taylor Sheridan,"['Jeff Bridges', 'Sheriff Marcus Hamilton', 'Chris Pine', 'Toby', 'Ben Foster', 'Tanner', 'Gil Birmingham', 'Alberto Parker', 'Marin Ireland', 'Debbie', 'Katy Mixon', 'Jenny Ann']","CBS Films, Lionsgate Films","Odd Lot Entertainment, Sidney Kimmel Entertainment, LBI Entertainment, Film 44, CBS Films",27000000.0,0.97,0.88,290,Crime,"Aug 19, 2016  Wide","Nov 8, 2016",https://www.rottentomatoes.com/m/hell_or_high_water,"Crime, Drama, Mystery & thriller, Western, Action"
Blue Beetle,"Recent college grad Jaime Reyes returns home full of aspirations for his future, only to find that home is not quite as he left it. As he searches to find his purpose in the world, fate intervenes when Jaime unexpectedly finds himself in possession of an ancient relic of alien biotechnology: the Scarab. When the Scarab suddenly chooses Jaime to be its symbiotic host, he is bestowed with an incredible suit of armor capable of extraordinary and unpredictable powers, forever changing his destiny as he becomes the Super Hero BLUE BEETLE.",Eng,127,Angel Manuel Soto,"John Rickard, Zev Foreman",Gareth Dunnet-Alcocer,"['Xolo Maridueña', 'Jaime Reyes, Blue Beetle', 'Adriana Barraza', 'Nana', 'Damián Alcázar', 'Alberto Reyes', 'Elpidia Carrillo', 'Rocio Reyes', 'Becky G', 'Khaji-Da Voice', 'Bruna Marquezine', 'Jenny Kord']",Warner Bros. Pictures,"Safran Company, DC Entertainment, Warner Bros.",72500000.0,0.78,0.91,274,Action,"Aug 18, 2023  Wide","Sep 26, 2023",https://www.rottentomatoes.com/m/blue_beetle,"Action, Adventure"
Top Gun Maverick,"After more than thirty years of service as one of the Navy’s top aviators, Pete “Maverick” Mitchell (Tom Cruise) is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground him. When he finds himself training a detachment of Top Gun graduates for a specialized mission the likes of which no living pilot has ever seen, Maverick encounters Lt. Bradley Bradshaw (Miles Teller), call sign: “Rooster,” the son of Maverick’s late friend and Radar Intercept Officer Lt. Nick Bradshaw, aka “Goose”. Facing an uncertain future and confronting the ghosts of his past, Maverick is drawn into a confrontation with his own deepest fears, culminating in a mission that demands the ultimate sacrifice from those who will be chosen to fly it.",Eng,131,Joseph Kosinski,"Jerry Bruckheimer, Tom Cruise, David Ellison, Christopher McQuarrie","Ehren Kruger, Eric Warren Singer, Christopher McQuarrie","['Tom Cruise', 'Capt. Pete ""Maverick"" Mitchell', 'Miles Teller', 'Lt. Bradley ""Rooster"" Bradshaw', 'Jennifer Connelly', 'Penny Benjamin', 'Jon Hamm', 'Adm. Beau ""Cyclone"" Simpson', 'Glen Powell', 'Lt. Jake ""Hangman"" Seresin', 'Ed Harris', 'Radm. Chester ""Hammer"" Cain']",Paramount Pictures,"Don Simpson/Jerry Bruckheimer Films, Paramount Pictures, Jerry Bruckheimer Films, Skydance Media",718500000.0,0.96,0.99,476,Action,"May 27, 2022  Wide","Aug 22, 2022",https://www.rottentomatoes.com/m/top_gun_maverick,"Action, Adventure"
Spider Man No Way Home,"For the first time in the cinematic history of Spider-Man, our friendly neighborhood hero's identity is revealed, bringing his Super Hero responsibilities into conflict with his normal life and putting those he cares about most at risk. When he enlists Doctor Strange's help to restore his secret, the spell tears a hole in their world, releasing the most powerful villains who've ever fought a Spider-Man in any universe. Now, Peter will have to overcome his greatest challenge yet, which will not only forever alter his own future but the future of the Multiverse.",Eng,148,Jon Watts,"Kevin Feige, Amy Pascal","Chris McKenna, Erik Sommers","['Tom Holland', 'Peter Parker, Spider-Man', 'Zendaya', 'MJ', 'Benedict Cumberbatch', 'Doctor Strange', 'Jacob Batalon', 'Ned Leeds', 'Jon Favreau', 'Happy Hogan', 'Jamie Foxx', 'Max Dillon, Electro']",Columbia Pictures,"Columbia Pictures, Marvel Studios, Pascal Pictures",814100000.0,0.93,0.98,430,Action,"Dec 17, 2021  Wide","Mar 15, 2022",https://www.rottentomatoes.com/m/spider_man_no_way_home,"Action, Adventure, Fantasy, Comedy"
Sisu 2022,"During the last desperate days of WWII, a solitary prospector (Jorma Tommila) crosses paths with Nazis on a scorched-earth retreat in northern Finland. When the Nazis steal his gold, they quickly discover that they have just tangled with no ordinary miner. While there is no direct translation for the Finnish word ""sisu"", this legendary ex-commando will embody what sisu means: a white-knuckled form of courage and unimaginable determination in the face of overwhelming odds. And no matter what the Nazis throw at him, the one-man death squad will go to outrageous lengths to get his gold back -- even if it means killing every last Nazi in his path.",Fin,91,Jalmari Helander,Petri Jokiranta,Jalmari Helander,"['Jorma Tommila', 'Aatami Korpi', 'Aksel Hennie', 'Bruno Helldorf', 'Jack Doolan', 'Wolf', 'Mimosa Willamo', 'Aino', 'Onni Tommila', 'Schütze', 'Arttu Kapulainen', 'Rower']",Lionsgate,"Subzero Film Entertainment, Just Bridge Entertainment, Good Chaos",7300000.0,0.94,0.88,181,Action,"Apr 28, 2023  Wide","May 16, 2023",https://www.rottentomatoes.com/m/sisu_2022,"Action, War"
Tenet,"A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.",Eng,150,Christopher Nolan,"Emma Thomas, Christopher Nolan",Christopher Nolan,"['John David Washington', 'Protagonist', 'Robert Pattinson', 'Neil', 'Elizabeth Debicki', 'Kat', 'Kenneth Branagh', 'Sator', 'Dimple Kapadia', 'Priya', 'Aaron Taylor-Johnson', 'Ives']",Warner Bros. Pictures,"Syncopy, Warner Bros. Pictures",58100000.0,0.69,0.76,375,Action,"Sep 3, 2020  Wide","Dec 15, 2020",https://www.rottentomatoes.com/m/tenet,"Action, Sci-fi, Mystery & thriller"
Guardians Of The Galaxy Vol 3,"In Marvel Studios ""Guardians of the Galaxy Vol. 3"" our beloved band of misfits are looking a bit different these days. Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.",Eng,150,James Gunn,Kevin Feige,James Gunn,"['Chris Pratt', 'Peter Quill, Star-Lord', 'Zoe Saldana', 'Gamora', 'Dave Bautista', 'Drax', 'Karen Gillan', 'Nebula', 'Pom Klementieff', 'Mantis', 'Vin Diesel', 'Groot Voice']",Walt Disney Pictures,"Film New Zealand, Marvel Studios, Troll Court Entertainment, Marvel Entertainment, Québec Film & TV Production Tax Credit",359000000.0,0.82,0.94,403,Sci-fi,"May 5, 2023  Wide","Jul 7, 2023",https://www.rottentomatoes.com/m/guardians_of_the_galaxy_vol_3,"Sci-fi, Adventure, Action, Fantasy, Comedy"
Dungeons And Dragons Honor Among Thieves,"A charming thief and a band of unlikely adventurers undertake an epic heist to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people. Dungeons & Dragons: Honor Among Thieves brings the rich world and playful spirit of the legendary roleplaying game to the big screen in a hilarious and action-packed adventure.",Eng,134,"Jonathan M. Goldstein, John Francis Daley","Jeremy Latcham, Brian Goldner, Nick Meyer","Jonathan M. Goldstein, John Francis Daley, Michael Gilio, Chris McKay","['Chris Pine', 'Edgin', 'Michelle Rodriguez', 'Holga', 'Regé-Jean Page', 'Xenk', 'Justice Smith', 'Simon', 'Sophia Lillis', 'Doric', 'Chloe Coleman', 'Kira']",Paramount Pictures,"Allspark Pictures, Paramount, Hasbro Studios",93200000.0,0.91,0.93,313,Fantasy,"Mar 31, 2023  Wide","May 2, 2023",https://www.rottentomatoes.com/m/dungeons_and_dragons_honor_among_thieves,"Fantasy, Adventure, Action, Comedy"
The Flash 2023,"Worlds collide in ""The Flash"" when Barry uses his superpowers to travel back in time in order to change the events of the past. But when his attempt to save his family inadvertently alters the future, Barry becomes trapped in a reality in which General Zod has returned, threatening annihilation, and there are no Super Heroes to turn to. That is, unless Barry can coax a very different Batman out of retirement and rescue an imprisoned Kryptonian... albeit not the one he's looking for. Ultimately, to save the world that he is in and return to the future that he knows, Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?",Eng,144,Andy Muschietti,"Barbara Muschietti, Michael Disco",Christina Hodson,"['Ezra Miller', 'Barry Allen, The Flash', 'Michael Keaton', 'Bruce Wayne, Batman', 'Sasha Calle', 'Kara Zor-El, Supergirl', 'Michael Shannon', 'General Zod', 'Ron Livingston', 'Henry Allen', 'Maribel Verdú', 'Nora Allen']",Warner Bros. Pictures,"Warner Bros., New Zealand Film Commission, Double Dream, DC Entertainment, Disco Factory, DC Comics, Québec Production Services Tax Credit, The South Australian Film Corporation",108100000.0,0.63,0.83,387,Action,"Jun 16, 2023  Wide","Jul 18, 2023",https://www.rottentomatoes.com/m/the_flash_2023,"Action, Adventure, Fantasy"
1212910-Warrior,"An estranged family finds redemption in the unlikeliest of places: the MMA ring. Tommy (Tom Hardy), an ex-Marine with a tragic past, returns home and enlists his father (Nick Nolte), a recovering alcoholic and former wrestling coach, to train him for ""Sparta,"" the biggest MMA tournament ever held. But when Tommy's underdog brother, Brendan (Joel Edgerton), fights his way into the tournament, the two brothers must finally confront each other and the forces that pulled them apart.",Eng,139,Gavin O'Connor,"Gavin O'Connor, Greg O'Connor","Gavin O'Connor, Anthony Tambakis, Cliff Dorfman","['Joel Edgerton', 'Brendan', 'Tom Hardy', 'Tommy', 'Nick Nolte', 'Paddy', 'Jennifer Morrison', 'Tess', 'Frank Grillo', 'Frank Campana', 'Kevin Dunn', 'Principal Zito']",Lionsgate Films,"Lionsgate, Mimran Schur Pictures",13700000.0,0.84,0.92,196,Action,"Sep 9, 2011  Wide","Sep 10, 2013",https://www.rottentomatoes.com/m/1212910-warrior,"Action, Drama"
The Retirement Plan,"In The Retirement Plan, when Ashley (Ashley Greene) and her young daughter Sarah (Thalia Campbell) get caught up in a criminal enterprise that puts their lives at risk, she turns to the only person who can help -- her estranged father Matt (Nicolas Cage), currently living the life of a retired beach bum in the Cayman Islands. Their reunion is fleeting as they are soon tracked down on the island by crime boss Donnie (Jackie Earle Haley) and his lieutenant Bobo (Ron Perlman). As Ashley, Sarah and Matt become entangled in an increasingly dangerous web, Ashley quickly learns her father had a secret past that she knew nothing about and that there is more to her father than meets the eye.",Eng,103,Tim Brown,"Doug Murray, Nicholas Tabarrok, William G. Santor",Tim Brown,"['Nicolas Cage', 'Matt', 'Ron Perlman', 'Bobo', 'Ashley Greene', 'Ashley', 'Jackie Earle Haley', 'Donnie', 'Grace Byers', 'Hector', 'Ernie Hudson', 'Joseph']",Falling Forward Films,"Darius Films, Productivity Media",1400000.0,0.63,0.42,16,Action,"Sep 15, 2023  Wide","Oct 17, 2023",https://www.rottentomatoes.com/m/the_retirement_plan,"Action, Comedy, Crime"
War For The Planet Of The Apes,"Caesar (Andy Serkis) and his apes are forced into a deadly conflict with an army of humans led by a ruthless colonel (Woody Harrelson). After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind. As the journey finally brings them face to face, Caesar and the colonel are pitted against each other in an epic battle that will determine the fate of both of their species and the future of the planet.",Eng,142,Matt Reeves,"Peter Chernin, Dylan Clark, Rick Jaffa, Amanda Silver","Matt Reeves, Mark Bomback","['Andy Serkis', 'Caesar', 'Woody Harrelson', 'The Colonel', 'Steve Zahn', 'Bad Ape', 'Karin Konoval', 'Maurice', 'Terry Notary', 'Rocket', 'Amiah Miller', 'Nova']",20th Century Fox,"20th Century Fox, Bluegrass Films, Chernin Entertainment",146800000.0,0.94,0.84,365,Sci-fi,"Jul 14, 2017  Wide","Apr 1, 2019",https://www.rottentomatoes.com/m/war_for_the_planet_of_the_apes,"Sci-fi, Action, Adventure"
Star Wars The Last Jedi,"Luke Skywalker's peaceful and solitary existence gets upended when he encounters Rey, a young woman who shows strong signs of the Force. Her desire to learn the ways of the Jedi forces Luke to make a decision that changes their lives forever. Meanwhile, Kylo Ren and General Hux lead the First Order in an all-out assault against Leia and the Resistance for supremacy of the galaxy.",Eng,152,Rian Johnson,"Kathleen Kennedy, Ram Bergman",Rian Johnson,"['Mark Hamill', 'Luke Skywalker', 'Carrie Fisher', 'Leia', 'Adam Driver', 'Kylo Ren', 'Daisy Ridley', 'Rey', 'John Boyega', 'Finn', 'Oscar Isaac', 'Poe Dameron']",Walt Disney,Lucasfilm Ltd.,620200000.0,0.91,0.42,487,Sci-fi,"Dec 15, 2017  Wide","Mar 11, 2018",https://www.rottentomatoes.com/m/star_wars_the_last_jedi,"Sci-fi, Adventure, Action, Fantasy"
The Suicide Squad,"Welcome to hell--a.k.a. Belle Reve, the prison with the highest mortality rate in the US of A. Where the worst Super-Villains are kept and where they will do anything to get out--even join the super-secret, super-shady Task Force X. Today's do-or-die assignment? Assemble a collection of cons, including Bloodsport, Peacemaker, Captain Boomerang, Ratcatcher 2, Savant, King Shark, Blackguard, Javelin and everyone's favorite psycho, Harley Quinn. Then arm them heavily and drop them (literally) on the remote, enemy-infused island of Corto Maltese. Trekking through a jungle teeming with militant adversaries and guerrilla forces at every turn, the Squad is on a search-and-destroy mission with only Colonel Rick Flag on the ground to make them behave...and Amanda Waller's government techies in their ears, tracking their every movement. And as always, one wrong move and they're dead (whether at the hands of their opponents, a teammate, or Waller herself). If anyone's laying down bets, the smart money is against them--all of them.",Eng,132,James Gunn,"Peter Safran, Charles Roven",James Gunn,"['Margot Robbie', 'Harley Quinn', 'Idris Elba', 'Bloodsport', 'John Cena', 'Peacemaker', 'Viola Davis', 'Amanda Waller', 'Sylvester Stallone', 'King Shark Voice', 'Joel Kinnaman', 'Colonel Rick Flag']",Warner Bros. Pictures,"DC Comics, Warner Bros., Peter Safran, Atlas Entertainment, DC Entertainment",55800000.0,0.9,0.82,382,Action,"Aug 6, 2021  Wide","Aug 6, 2021",https://www.rottentomatoes.com/m/the_suicide_squad,"Action, Adventure, Comedy"
Avengers Endgame,"Adrift in space with no food or water, Tony Stark sends a message to Pepper Potts as his oxygen supply starts to dwindle. Meanwhile, the remaining Avengers -- Thor, Black Widow, Captain America and Bruce Banner -- must figure out a way to bring back their vanquished allies for an epic showdown with Thanos -- the evil demigod who decimated the planet and the universe.",Eng,181,"Anthony Russo, Joe Russo",Kevin Feige,"Christopher Markus, Stephen McFeely","['Robert Downey Jr.', 'Tony Stark, Iron Man', 'Chris Evans', 'Steve Rogers, Captain America', 'Mark Ruffalo', 'Bruce Banner, Hulk', 'Chris Hemsworth', 'Thor', 'Scarlett Johansson', 'Natasha Romanoff, Black Widow', 'Jeremy Renner', 'Clint Barton, Hawkeye']",Walt Disney,"Marvel Studios, Walt Disney Pictures",858400000.0,0.94,0.9,556,Action,"Apr 26, 2019  Wide","Jul 30, 2019",https://www.rottentomatoes.com/m/avengers_endgame,"Action, Adventure, Fantasy, Sci-fi"
