,Title,Synopsis,Original Language,Runtime,Director,Writer,Top Cast,Tomato Meter,Audience Score,No. Reviews,Genre,Link
1565,Noma My Perfect Storm,"Located in Copenhagen, Denmark, renowned chef René Redzepi reinvents his restaurant, Noma, to make it the best in the world.", English, 1h 35m, Pierre Deschamps, Pierre Deschamps,"['Claus Meyer', 'Paul Cunningham', 'Ferran Adrià', 'Tor Nørretranders', 'Matt Goulding', 'René Redzepi']",57%,42%,21, Documentary,https://www.rottentomatoes.com/m/noma_my_perfect_storm
1566,South Of The Border,"Filmmaker Oliver Stone interviews Venezuela's Hugo Chávez, Brazil's Lula da Silva and other leaders, in an examination of social and political movements in South America.", English, 1h 18m, Oliver Stone," Mark Weisbrot, Tariq Ali","['Tariq Ali', 'Raul Castro', 'Hugo Chavez', 'Rafael Correa', 'Luiz Inácio Lula da Silva', 'Néstor Kirchner']",54%,69%,56, Documentary,https://www.rottentomatoes.com/m/south_of_the_border
1567,Beautiful Truth,A 15-year-old Alaskan teenager embarks on a cross-country road trip to investigate Dr. Max Gerson's controversial claim of a dietary cure for cancer., English, 1h 32m, Steve Kroschel, Steve Kroschel,"['Steve Kroschel', 'Director', 'Steve Kroschel', 'Writer', 'Steve Kroschel', 'Producer', 'Carey Komadina']",47%,74%,15, Documentary,https://www.rottentomatoes.com/m/beautiful_truth
1568,Un Me 2011,The filmmaker tours areas in which the U.N. has intervened., English, 1h 30m," Matthew Groff, Ami Horowitz"," Matthew Groff, Ami Horowitz","['Matthew Groff', 'Director', 'Ami Horowitz', 'Director', 'Matthew Groff', 'Screenwriter', 'Ami Horowitz', 'Screenwriter', 'Matthew Groff', 'Producer', 'Ami Horowitz', 'Producer']",55%,94%,22, Documentary,https://www.rottentomatoes.com/m/un_me_2011
1569,Behind The White Glasses,"A tribute to visionary Italian filmmaker Lina Wertmüller, the first woman to receive an Academy Award nomination for Best Director.", English, 1h 20m, Valerio Ruiz, Valerio Ruiz,"['Martin Scorsese', 'Self', 'Sophia Loren', 'Self', 'Harvey Keitel', 'Self', 'Rutger Hauer', 'Self', 'Nastassja Kinski', 'Self', 'Valerio Ruiz', 'Director']",57%,--,7," Documentary, Biography",https://www.rottentomatoes.com/m/behind_the_white_glasses
1570,Slacker Uprising,"In the weeks preceding the 2004 presidential election, filmmaker Michael Moore travels to a number of college campuses to urge young people to vote.", English, 1h 39m, Michael Moore, Michael Moore,"['Michael Moore', 'Eddie Vedder', 'Steve Earle', 'Michael Stipe', 'Tom Morello', 'Joan Baez']",29%,35%,17, Documentary,https://www.rottentomatoes.com/m/slacker_uprising
1571,Divorce Corp,The inner workings of the $50 billion a year U.S. family law industry and the wasteful practices seen in family courts across the country., English, 1h 33m, Joe Sorge," Blake Harjes, James D. Scurlock, Joe Sorge, Philip Sternberg","['Gloria Allred', 'Dr. Drew', 'Narrator', 'Joe Sorge', 'Director', 'Blake Harjes', 'Writer', 'James D. Scurlock', 'Writer', 'Joe Sorge', 'Writer']",44%,82%,9," Documentary, Drama, History",https://www.rottentomatoes.com/m/divorce_corp
1572,Dysfunktional Family,"This live concert film features comedian Eddie Griffin performing his stand-up act. The central theme of the concert is family and how Griffin's difficult yet loving clan helped him become a star. Griffin introduces his family via anecdotes and documentary footage, relating infamous tales, including how his mother once chased him down with her car, how an uncle's drug abuse almost destroyed him and the pride another uncle took in his prodigious pornography collection.", English, 1h 23m, George Gallo, Eddie Griffin,"['Eddie Griffin', 'Self', 'George Gallo', 'Director', 'Eddie Griffin', 'Producer', 'David Permut', 'Producer', 'Paul Brooks', 'Producer', 'Eddie Griffin', 'Writer']",43%,77%,63, Documentary,https://www.rottentomatoes.com/m/dysfunktional_family
1573,Faster,"MotoGP riders, Max Biaggi, Garry McCoy and John Hopkins come up with plans and machines to beat world champion Valentino Rossi.", English, 1h 43m, Mark Neale, Mark Neale,"['Ewan McGregor', 'Narrator', 'Mark Neale', 'Director', 'Mark Neale', 'Screenwriter', 'Stephen Lim', 'Producer', 'Jane Rees', 'Producer', 'Ian MacLean', 'Executive Producer']",53%,90%,17, Documentary,https://www.rottentomatoes.com/m/faster
1574,Janes Journey 2010,"Dr. Jane Goodall is a well-known anthropologist famous for her work with primates in Africa. This film follows her travels through the world speaking about her conservationism and scientific research, most notably her four-and-a-half-decadelong study of African chimpanzees. Although well into her 70s at the time of this film, Goodall is sprightly, energetic and a seemingly endless font of knowledge about her subject in particular and conservationism in general.", English, 1h 46m, Lorenz Knauer, Lorenz Knauer,"['Jane Goodall', 'Self', 'Angelina Jolie', 'Self', 'Pierce Brosnan', 'Self', 'Kofi Annan', 'Self', 'Lorenz Knauer', 'Director', 'Lorenz Knauer', 'Writer']",42%,79%,12, Documentary,https://www.rottentomatoes.com/m/janes_journey_2010
1575,Programming The Nation,"The filmmaker spotlights purported uses, influences and effects of subliminal content in media.", English, 1h 45m, Jeff Warrick, Jeff Warrick,"['Noam Chomsky', 'Christopher Coppola', 'Amy Goodman', 'Dennis Kucinich', 'Mark Mothersbaugh', 'Geoff Tate']",40%,74%,15, Documentary,https://www.rottentomatoes.com/m/programming_the_nation
1576,The Cartel,An investigation reveals vast underachievement by the U.S. educational system., English, 1h 30m, Bob Bowdon, Bob Bowdon,"['Bob Bowdon', 'Host', 'Bob Bowdon', 'Director', 'Bob Bowdon', 'Screenwriter', 'Bob Bowdon', 'Producer', 'Bob Bowdon', 'Original Music', 'David Wittlin']",48%,69%,29, Documentary,https://www.rottentomatoes.com/m/the_cartel
1577,Comedians Of Comedy Live At The El Rey,"Comics Patton Oswalt, Brian Posehn, Maria Bamford and Zach Galifianikis perform their stand-up routines.", English, 1h 43m, Michael Blieden," Maria Bamford, Zach Galifianakis, Patton Oswalt, Brian Posehn","['Michael Blieden', 'Director', 'D.J. Paul', 'Producer', 'Ted Sarandos', 'Producer', 'Patton Oswalt', 'Executive Producer', 'Michael Blieden', 'Executive Producer', 'Maria Bamford', 'Screenwriter']",44%,83%,9, Documentary,https://www.rottentomatoes.com/m/comedians_of_comedy_live_at_the_el_rey
1578,The Prime Ministers Soldiers And Peacemakers,Filmmaker Richard Trank examines six decades of Israel's history., English, 1h 18m, Richard Trank," Richard Trank, Marvin Hier","['Michael Douglas', 'Christoph Waltz', 'Nicola Peltz', 'Leonard Nimoy', 'Sandra Bullock', 'Richard Trank', 'Director']",29%,40%,7, Documentary,https://www.rottentomatoes.com/m/the_prime_ministers_soldiers_and_peacemakers
1579,The Prime Ministers The Pioneers,"Yehuda Avner, aide, note-taker and speechwriter for five prime ministers, reveals new details on the Six-Day War, the development of Israel's relationship with the United States, the fight against terrorism and the aftermath of the Yom Kippur War.", English, 1h 55m, Richard Trank," Richard Trank, Marvin Hier","['Sandra Bullock', 'Voice', 'Robert Cait', 'Michael Douglas', 'Voice', 'Leonard Nimoy', 'Voice', 'Steven Schub', 'Christoph Waltz', 'Voice']",38%,50%,13, Documentary,https://www.rottentomatoes.com/m/the_prime_ministers_the_pioneers
1580,Shock Doctrine,"Filmmakers Michael Winterbottom and Mat Whitecross use lectures by Naomi Klein, newsreel footage and analysis to explain the connection between politics and economics.", English, 1h 25m," Michael Winterbottom, Mat Whitecross", Michael Winterbottom,"[""Kieran O'Brien"", 'Narrator', 'Michael Winterbottom', 'Director', 'Mat Whitecross', 'Director', 'Michael Winterbottom', 'Screenwriter', 'Andrew Eaton', 'Producer', 'Alex Cooke', 'Producer']",58%,63%,12, Documentary,https://www.rottentomatoes.com/m/shock_doctrine
1581,Waiting For Lightning 2012,"Danny Way rises from broken-home survivor to fame as a professional skateboarder and, in 2005, attempts to jump over the Great Wall of China.", English, 1h 36m, Jacob Rosenberg, Bret Anthony Johnston,"['Danny Way', 'Rob Dyrdek', 'Travis Pastrana', 'Laird Hamilton', 'Tony Hawk', 'Ken Block']",45%,73%,22, Documentary,https://www.rottentomatoes.com/m/waiting_for_lightning_2012
1582,Yogawoman,Female yoga instructors change people's lives around the world., English, 1h 24m, Kate Clere, Kate Clere,"['Annette Bening', 'Narrator', 'Kate Clere', 'Director', 'Kate Clere', 'Screenwriter', 'Michael McIntyre', 'Producer', 'Michael McIntyre', 'Cinematographer', 'Wayne Hyett', 'Film Editing']",36%,79%,11, Documentary,https://www.rottentomatoes.com/m/yogawoman
1583,Smoke Sauna Sisterhood,"In the darkness of smoke sauna, women share their innermost secrets and intimate experiences. Through a sense of communion, women wash off the shame trapped in their bodies and regain their strength.", Estonian, 1h 29m, Anna Hints," Anna Hints, Anna Hints","['Kadi Kivilo', 'Self', 'Anna Hints', 'Director', 'Anna Hints', 'Writer', 'Marianne Ostrat', 'Producer', 'Ants Tammik', 'Cinematographer', 'Qutaiba Barhamji', 'Film Editor']",98%,80%,44, Documentary,https://www.rottentomatoes.com/m/smoke_sauna_sisterhood
1584,Four Daughters 2023,"This riveting exploration of rebellion, memory, and sisterhood reconstructs the story of Olfa Hamrouni and her four daughters, unpacking a complex family history through intimate interviews and performance to examine how the Tunisian woman's two eldest were radicalized by Islamic extremists. Casting professional actresses as the missing daughters, along with acclaimed Egyptian-Tunisian actress Hend Sabri as Olfa, award-winning director Kaouther Ben Hania (The Man Who Sold His Skin) restages pivotal moments in the family's life. These scenes are interwoven with confessions and reflections from Olfa and her younger daughters, offering the women agency to tell their own story and capturing moments of joy, loss, violence, and heartache. Winner of four prizes including L'Oeil d'Or (Best Documentary) when it screened in competition at the Cannes Film Festival, Four Daughters is a compelling portrait of five women and a unique and ambitious work of nonfiction cinema that explores the nature of memory, the weight of inherited trauma, and the ties that bind mothers and daughters.", Arabic, 1h 47m, Kaouther Ben Hania, Kaouther Ben Hania,"['Hend Sabry', 'Olfa', 'Olfa Hamrouni', 'Self', 'Eya Chikahoui', 'Self', 'Tayssir Chikhaoui', 'Self', 'Nour Karoui', 'Ichrak Matar']",97%,87%,60," Documentary, Drama",https://www.rottentomatoes.com/m/four_daughters_2023
1585,Descendant 2022,"Documentary filmmaker Margaret Brown (""The Order of Myths"", ""The Great Invisible"") returns to her hometown of Mobile, Alabama to document the search for and historic discovery of The Clotilda, the last known ship to arrive in the United States, illegally carrying enslaved Africans. After a century of secrecy and speculation, the 2019 discovery of the ship turns attention toward the descendant community of Africatown and presents a moving portrait of a community actively grappling with and fighting to preserve their heritage while examining what justice looks like today.", English, 1h 49m, Margaret Brown," Margaret Brown, Kern Jackson","['Margaret Brown', 'Director', 'Margaret Brown', 'Producer', 'Essie Chambers', 'Producer', 'Kyle Martin', 'Producer', 'Shawn Gee', 'Executive Producer', 'Kate Hurwitz', 'Executive Producer']",100%,63%,69, Documentary,https://www.rottentomatoes.com/m/descendant_2022
1586,Downwind,"Hiroshima. Nagasaki. Mercury, Nevada? The latter was the site for the testing of 928 nuclear weapons on American soil from 1951 to 1992. The fallout is still lethally impacting Americans today. Martin Sheen narrates this harrowing exposé of the United States' disregard for everyone living... downwind.", English, 1h 34m," Mark Shapiro, Douglas Brian Miller"," Warren Etheredge, Mark Shapiro","['Martin Sheen', 'Narrator', 'Lewis Black', 'Self', 'Michael Douglas', 'Self', 'Patrick Wayne', 'Self', 'Mark Shapiro', 'Director', 'Douglas Brian Miller', 'Director']",100%,71%,7," Documentary, History",https://www.rottentomatoes.com/m/downwind
1587,The Pigeon Tunnel,"Academy Award-winning documentarian Errol Morris pulls back the curtain on the storied life and career of former British spy David Cornwell -- better known as John le Carré, author of such classic espionage novels as The Spy Who Came in from the Cold, Tinker Tailor Soldier Spy and The Constant Gardener. Set against the turbulent backdrop of the Cold War leading into present day, the film spans six decades as le Carré delivers his final and most candid interview, punctuated with rare archival footage and dramatized vignettes. ""The Pigeon Tunnel"" is a deeply human and engaging exploration of le Carré's extraordinary journey and the paper-thin membrane between fact and fiction.", English, 1h 34m, Errol Morris, Errol Morris,"['John le Carré', 'Self', 'Jake Dove', 'David Cornwell', 'Charlotte Hamblin', 'Olive Cornwell', 'Alan Mehdizadeh', 'The Bookie', 'Douglas Rankine', 'Rudolf Hess', 'Errol Morris', 'Director']",96%,73%,85, Documentary,https://www.rottentomatoes.com/m/the_pigeon_tunnel
1588,Buried The 1982 Alpine Meadows Avalanche,"In 1982, a massive avalanche descended on Alpine Meadows Ski Resort in Lake Tahoe, California, triggering a desperate five day search for eight missing people. BURIED chronicles the third deadliest avalanche in US history, the miraculous rescue efforts and the traumas that still haunt the survivors today.", English, 1h 36m," Jared Drake, Steven Siig"," Jared Drake, Steven Siig","['Jim Plehn', 'Self', 'Larry Heywood', 'Self', 'Meredith Watson', 'Self', 'Jared Drake', 'Director', 'Steven Siig', 'Director', 'Jared Drake', 'Screenwriter']",100%,95%,10, Documentary,https://www.rottentomatoes.com/m/buried_the_1982_alpine_meadows_avalanche
1589,Stop Making Sense,Filmmaker Jonathan Demme captures Talking Heads and an ecstatic ensemble of musicians at their exhilarating best in this iconic live performance., English, 1h 28m, Jonathan Demme," Jonathan Demme, Talking Heads","['David Byrne', 'Self', 'Chris Frantz', 'Self', 'Tina Weymouth', 'Self', 'Jerry Harrison', 'Self', 'Bernie Worrell', 'Self', 'Alex Weir', 'Self']",100%,97%,68," Documentary, Music",https://www.rottentomatoes.com/m/stop_making_sense
1590,Great Photo Lovely Life Facing A Familys Secrets,"Amanda Mustard, a renowned photojournalist drawn to the power of truth-telling through the lens of her camera, returns home to Pennsylvania to investigate the multiple sexual abuse crimes committed by her grandfather. A visual whirlwind of memories from her family's archive unravels a world of secrets and help illustrate a granddaughter's unflinching attempt to disrupt a cycle of intergenerational trauma through the voices of the survivors and her grandfather himself. An eight-year cinematic journey with revealing interviews, archival photographs, and intimate home movies, GREAT PHOTO, LOVELY LIFE: FACING A FAMILY'S SECRETS documents a personal journey to not only uncover, but also understand the impact her grandfather, a local chiropractor, had on her family after committing decades of serial sexual abuse, and explores the complexities of the silence that followed. Through her emotionally raw quest to expose the truth, Mustard's investigation reveals decades of secrecy and coverups rooted in shame and self-deception and discovers the dysfunction lurking in her own family, eventually bringing her to uncomfortable and unexpected confrontations and reckonings. Finding the courage to dredge up painful memories, face her own feelings about her grandfather, and to have heartbreaking but healing conversations, Mustard explores the depth and breadth of her grandfather's actions, laying bare a path for the survivors to shed light on the abuse in order to make sense of the past, find peace in the present, and empower them to move forward.", English, 1h 52m," Rachel Beth Anderson, Amanda Mustard"," Rachel Beth Anderson, Josef Beeby, Amanda Mustard, Tyler H. Walk, Amanda Mustard, Rachel Beth Anderson, Tyler H. Walk, Josef Beeby","['Amanda Mustard', 'Self', 'Rachel Beth Anderson', 'Director', 'Amanda Mustard', 'Director', 'Rachel Beth Anderson', 'Writer', 'Josef Beeby', 'Writer', 'Amanda Mustard', 'Writer']",100%,87%,6, Documentary,https://www.rottentomatoes.com/m/great_photo_lovely_life_facing_a_familys_secrets
